id,name,ingredients,mood_tags,meal_type,weather_tags,dietary_tags,temperature,price,main_category,sub_category,base
14,Chicken Pesto Panini,"chicken, bread, lettuce, tomato, mayo, cheese, basil, garlic, pine nuts","outrage, sentimentality, disappointment","Breakfast, Lunch, Snack","cool_dry, hot_dry",Non-Vegetarian,Warm,190,Food,Bread,
15,Aglio e Olio,pasta,"fearful, trusting","Lunch, Dinner, Snack","rainy, cool_dry",Non-Vegetarian,Hot,170,Food,Pasta,
16,Chicken Alfredo,"chicken, pasta, cream, cheese","submission, fearful","Lunch, Dinner, Snack",rainy,Non-Vegetarian,Hot,170,Food,Pasta,
17,Tomato Pesto,"pasta, tomato sauce, herbs, basil, garlic, olive oil","surprised, remorse","Lunch, Dinner, Snack","rainy, cool_dry",Non-Vegetarian,Hot,170,Food,Pasta,
18,Carbonara,"pasta, cream, cheese","aggressiveness, disappointment, disgusted","Lunch, Dinner, Snack",rainy,Non-Vegetarian,Hot,150,Food,Pasta,
19,Spaghetti,pasta,"disappointment, angry, love","Lunch, Dinner, Snack","rainy, cool_dry",Non-Vegetarian,Hot,150,Food,Pasta,
20,Tuna Pesto,"fish, pasta, basil, garlic, olive oil, tuna chunks","sentimentality, disgusted","Lunch, Dinner, Snack","rainy, cool_dry",Non-Vegetarian (Pescatarian),Hot,170,Food,Pasta,
21,Classic Waffle,"waffle batter, syrup, butter","disgusted, aggressiveness","Breakfast, Snack, Dessert","cool_dry, hot_dry",Vegetarian,Warm,99,Food,Waffle,
22,Apple Waffle,"waffle batter, syrup, butter, apple, cinnamon","love, despair, anticipating","Breakfast, Snack, Dessert",cool_dry,Vegetarian,Warm,150,Food,Waffle,
23,Biscoff Waffle,"waffle batter, syrup, butter, biscoff spread, cookie crumbs","trusting, anticipating, outrage","Snack, Dessert","cool_dry, hot_dry",Vegetarian,Warm,160,Food,Waffle,
24,Ice Cream Waffle,"waffle batter, syrup, butter, vanilla ice cream","remorse, love, fearful","Snack, Dessert",hot_dry,Vegetarian,Warm,130,Food,Waffle,
25,Blueberry Waffle,"waffle batter, syrup, butter, blueberry compote","anxiety, alarm","Breakfast, Snack, Dessert","cool_dry, hot_dry",Vegetarian,Warm,145,Food,Waffle,
26,Cheesy Waffle,"waffle batter, syrup, butter","outrage, optimism","Snack, Dessert","cool_dry, hot_dry",Vegetarian,Warm,130,Food,Waffle,
27,Choco Waffle,"waffle batter, syrup, butter, chocolate hazelnut spread","outrage, aggressiveness, sad","Snack, Dessert","cool_dry, hot_dry",Vegetarian,Warm,120,Food,Waffle,
28,Mango Waffle,"waffle batter, syrup, butter, fresh mango","sad, anticipating, despair","Breakfast, Snack, Dessert",hot_dry,Vegetarian,Warm,145,Food,Waffle,
29,Bacon Waffle,"pork, waffle batter, syrup, butter","anxiety, contempt, outrage","Breakfast, Snack","cool_dry, hot_dry",Non-Vegetarian,Warm,160,Food,Waffle,
30,Nutella Waffle,"waffle batter, syrup, butter, chocolate hazelnut spread","disappointment, anticipating, sad","Snack, Dessert","cool_dry, hot_dry",Vegetarian,Warm,140,Food,Waffle,
31,Strawberry Waffle,"waffle batter, syrup, butter, fresh strawberry","fearful, trusting, surprised","Breakfast, Snack, Dessert",cool_dry,Vegetarian,Warm,145,Food,Waffle,
32,Americano,"espresso, water","outrage, disgusted","Breakfast, Snack, Drink","rainy, cool_dry",Vegan,"Hot, Cold",120,Beverage,Coffee,
33,Caffe Latte,"espresso, milk","sentimentality, fearful, remorse","Breakfast, Snack, Drink","rainy, cool_dry, hot_dry",Vegetarian,"Hot, Cold",130,Beverage,Coffee,
34,Vanilla Latte,"espresso, milk, vanilla syrup","sentimentality, aggressiveness, delight","Breakfast, Snack, Drink","rainy, cool_dry, hot_dry",Vegetarian,"Hot, Cold",140,Beverage,Coffee,
35,Spanish Latte,"espresso, milk, condensed milk","despair, joyful, surprised","Breakfast, Snack, Drink","rainy, cool_dry, hot_dry",Vegetarian,"Hot, Cold",150,Beverage,Coffee,
36,Cappuccino,"espresso, milk","outrage, alarm, surprised","Breakfast, Snack, Drink","hot_dry, cool_dry",Vegetarian,"Hot, Cold",130,Beverage,Coffee,
37,Caramel Macchiato,"espresso, milk, caramel sauce","contempt, disgusted, aggressiveness","Breakfast, Snack, Drink",hot_dry,Vegetarian,"Hot, Cold",150,Beverage,Coffee,
38,Salted Caramel,"espresso, water, caramel sauce, sea salt","love, delight","Breakfast, Snack, Drink",hot_dry,Vegan,"Hot, Cold",150,Beverage,Coffee,
39,Cafe Mocha,"espresso, milk, chocolate syrup","delight, surprised","Breakfast, Snack, Drink","rainy, cool_dry, hot_dry",Vegetarian,"Hot, Cold",150,Beverage,Coffee,
40,White Chocolate,"espresso, water, chocolate syrup","outrage, delight, angry","Breakfast, Snack, Drink",hot_dry,Vegan,"Hot, Cold",160,Beverage,Coffee,
41,Caramel Oat Latte,"espresso, oat milk, caramel sauce","disappointment, disgusted","Breakfast, Snack, Drink",hot_dry,Vegan,"Hot, Cold",160,Beverage,Coffee,
42,Biscoff Latte,"espresso, milk","sentimentality, alarm","Breakfast, Snack, Drink",hot_dry,Vegetarian,"Hot, Cold",160,Beverage,Coffee,
43,Shaken Affogato,"espresso, water","joyful, surprised, disappointment","Breakfast, Snack, Drink",hot_dry,Vegan,"Hot, Cold",160,Beverage,Coffee,
44,Chocolate,"espresso, water, chocolate syrup","anticipating, trusting, outrage","Breakfast, Snack, Drink","hot_dry, rainy",Vegan,"Hot, Cold",150,Beverage,Non-Coffee,
45,Matcha,"espresso, water","fearful, optimism","Breakfast, Snack, Drink",hot_dry,Vegan,"Hot, Cold",150,Beverage,Non-Coffee,
46,Caramel Macchiato,"blended ice, milk, whipped cream, espresso","despair, sad","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,150,Beverage,Frappe,Coffee
47,Salted Caramel,"blended ice, milk, whipped cream","optimism, despair","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,150,Beverage,Frappe,Coffee
48,Cafe Mocha,"blended ice, milk, whipped cream, espresso","love, delight","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,150,Beverage,Frappe,Coffee
49,White Chocolate,"blended ice, milk, whipped cream, chocolate sauce","angry, despair, outrage","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,160,Beverage,Frappe,Coffee
50,Coffee Jelly,"blended ice, milk, whipped cream, espresso","remorse, disappointment, aggressiveness","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,165,Beverage,Frappe,Coffee
51,Strawberry Ice cream,"blended ice, milk, whipped cream, strawberry syrup","surprised, anticipating, sentimentality","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,160,Beverage,Frappe,Non-Coffee
52,Vanilla,"blended ice, milk, whipped cream, vanilla syrup","alarm, joyful","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,150,Beverage,Frappe,Non-Coffee
53,Biscoff,"blended ice, milk, whipped cream","anxiety, anticipating","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,150,Beverage,Frappe,Non-Coffee
54,Chocolate Chip Cream,"blended ice, milk, whipped cream, chocolate sauce","fearful, trusting","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,150,Beverage,Frappe,Non-Coffee
55,Matcha,"blended ice, milk, whipped cream, matcha powder","fearful, trusting","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,150,Beverage,Frappe,Non-Coffee
56,Caramel Oreo,"blended ice, milk, whipped cream, crushed cookies","fearful, delight, anticipating","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,160,Beverage,Frappe,Non-Coffee
57,Mango Cheesecake,"blended ice, milk, whipped cream, mango puree","optimism, angry, despair","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,165,Beverage,Frappe,Non-Coffee
58,Avocado Creamcheese,"blended ice, milk, whipped cream, avocado","anxiety, outrage","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,160,Beverage,Frappe,Non-Coffee
59,Caramel Float Cereal,"soda water, ice cream, caramel drizzle","anticipating, optimism, contempt","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,175,Beverage,Float,
60,Matcha Float,"matcha, ice cream","surprised, outrage","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,165,Beverage,Float,
61,Chocolate Float,"chocolate, ice cream","disappointment, contempt, sentimentality","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,165,Beverage,Float,
62,Mocha Float,"coffee, ice cream","trusting, surprised, outrage","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,165,Beverage,Float,
63,Salted Caramel Float,"soda water, ice cream, caramel drizzle","alarm, surprised, anticipating","Snack, Drink, Dessert",hot_dry,Vegetarian,Cold,165,Beverage,Float,
64,Okinawa,"black tea, milk, sugar, tapioca pearls","angry, despair","Snack, Drink","rainy, cool_dry, hot_dry",Vegetarian,Cold,100,Beverage,Milk Tea,
65,Cookies and Cream,"black tea, milk, sugar, tapioca pearls, cookie bits","sad, contempt, disgusted","Snack, Drink","rainy, cool_dry, hot_dry",Vegetarian,Cold,100,Beverage,Milk Tea,
66,Matcha,"matcha, milk, sugar, tapioca pearls","aggressiveness, anticipating, fearful","Snack, Drink","rainy, cool_dry, hot_dry",Vegetarian,Cold,100,Beverage,Milk Tea,
67,Wintermelon,"black tea, milk, sugar, tapioca pearls, wintermelon syrup","despair, surprised, trusting","Snack, Drink","rainy, cool_dry, hot_dry",Vegetarian,Cold,100,Beverage,Milk Tea,
68,Chocolate,"black tea, milk, sugar, tapioca pearls, chocolate powder","fearful, anticipating","Snack, Drink","rainy, cool_dry, hot_dry",Vegetarian,Cold,100,Beverage,Milk Tea,
69,Cheese Cake,"black tea, milk, sugar, tapioca pearls, cream cheese walling","contempt, optimism","Snack, Drink","rainy, cool_dry, hot_dry",Vegetarian,Cold,120,Beverage,Milk Tea,
70,Blue Ocean,"soda water, fruit syrup, ice, blue curacao, lemon","angry, remorse, trusting","Snack, Drink",hot_dry,Vegan,Cold,150,Beverage,Sparkling Soda,
71,Sunset Dream,"soda water, fruit syrup, ice, strawberry, orange","remorse, joyful","Snack, Drink",hot_dry,Vegan,Cold,150,Beverage,Sparkling Soda,
72,Strawberry Yakult,"soda water, fruit syrup, ice, yakult","love, aggressiveness, submission","Snack, Drink",hot_dry,Vegetarian,Cold,150,Beverage,Sparkling Soda,
73,Peach Soda,"soda water, fruit syrup, ice, peach syrup","despair, optimism, sad","Snack, Drink",hot_dry,Vegan,Cold,135,Beverage,Sparkling Soda,
74,Green Apple,"soda water, fruit syrup, ice, green apple syrup","submission, angry","Snack, Drink",hot_dry,Vegan,Cold,130,Beverage,Sparkling Soda,
75,Blueberry,"soda water, fruit syrup, ice, blueberry syrup","anxiety, despair","Snack, Drink",hot_dry,Vegan,Cold,130,Beverage,Sparkling Soda,
76,Peach Tea,"green tea, fruit jam, ice, peach slices","alarm, trusting","Snack, Drink","cool_dry, hot_dry",Vegan,Cold,140,Beverage,Fruit Tea,
77,Lemon Fruit Tea,"green tea, fruit jam, ice, lemon slices","anxiety, optimism","Snack, Drink","cool_dry, hot_dry",Vegan,Cold,140,Beverage,Fruit Tea,
78,Strawberry Fruit Tea,"green tea, fruit jam, ice, strawberry bits","trusting, delight","Snack, Drink","cool_dry, hot_dry",Vegan,Cold,150,Beverage,Fruit Tea,
79,Kiwi Fruit Tea,"green tea, fruit jam, ice, kiwi slices","disgusted, fearful","Snack, Drink","cool_dry, hot_dry",Vegan,Cold,140,Beverage,Fruit Tea,
80,Blueberry Fruit Tea,"green tea, fruit jam, ice, blueberry","anticipating, remorse","Snack, Drink","cool_dry, hot_dry",Vegan,Cold,140,Beverage,Fruit Tea,
