id,name,ingredients,mood_tags,meal_type,weather_tags,dietary_tags,temperature,price,main_category,sub_category,base
30,Nutella Waffle,"waffle batter, syrup, butter, chocolate hazelnut spread","comfort, romantic","Snack, Dessert","any, mild",Vegetarian,Warm,140,Food,Waffle,
31,Strawberry Waffle,"waffle batter, syrup, butter, fresh strawberry","romantic, refresh","Snack, Dessert","any, mild",Vegetarian,Warm,145,Food,Waffle,
32,Hot Americano,"espresso, water","vitality, routine","Snack, Drink","rainy, cold, cloudy",Vegan,Hot,100,Beverage,Coffee,
33,Iced Americano,"espresso, water","routine, vitality, stressed","Snack, Drink","sunny, hot, summer",Vegan,Cold,120,Beverage,Coffee,
34,Hot Caffe Latte,"espresso, milk","chill, comfort, routine","Snack, Drink","rainy, cold, cloudy",Vegetarian,Hot,120,Beverage,Coffee,
35,Iced Caffe Latte,"espresso, milk","routine, vitality","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,130,Beverage,Coffee,
36,Hot Vanilla Latte,"espresso, milk, vanilla syrup","comfort, sick, chill","Snack, Drink","rainy, cold, cloudy",Vegetarian,Hot,130,Beverage,Coffee,
37,Iced Vanilla Latte,"espresso, milk, vanilla syrup","routine, comfort, vitality","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,140,Beverage,Coffee,
38,Hot Spanish Latte,"espresso, milk, condensed milk","romantic, comfort, vitality","Snack, Drink","rainy, cold, cloudy",Vegetarian,Hot,140,Beverage,Coffee,
39,Iced Spanish Latte,"espresso, milk, condensed milk","vitality, stressed, celebratory","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Coffee,
40,Hot Cappuccino,"espresso, milk","chill, routine, comfort","Snack, Drink","rainy, cold, cloudy",Vegetarian,Hot,120,Beverage,Coffee,
41,Iced Cappuccino,"espresso, milk","routine, vitality","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,130,Beverage,Coffee,
42,Hot Caramel Macchiato,"espresso, milk, caramel sauce","romantic, celebratory, comfort","Snack, Drink","rainy, cold, cloudy",Vegetarian,Hot,140,Beverage,Coffee,
43,Iced Caramel Macchiato,"espresso, milk, caramel sauce","celebratory, hangry, routine","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Coffee,
44,Hot Salted Caramel,"espresso, water, caramel sauce, sea salt","hangry, stressed, comfort","Snack, Drink","rainy, cold, cloudy",Vegan,Hot,140,Beverage,Coffee,
45,Iced Salted Caramel,"espresso, water, caramel sauce, sea salt","stressed, vitality, hangry","Snack, Drink","sunny, hot, summer",Vegan,Cold,150,Beverage,Coffee,
46,Hot Cafe Mocha,"espresso, milk, chocolate syrup","comfort, hangry","Snack, Drink","rainy, cold, cloudy",Vegetarian,Hot,140,Beverage,Coffee,
47,Iced Cafe Mocha,"espresso, milk, chocolate syrup","hangry, celebratory, routine","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Coffee,
48,Hot White Chocolate,"espresso, water, chocolate syrup","comfort, romantic, hangry","Snack, Drink","rainy, cold, cloudy",Vegan,Hot,150,Beverage,Coffee,
49,Iced White Chocolate,"espresso, water, chocolate syrup","hangry, celebratory, comfort","Snack, Drink","sunny, hot, summer",Vegan,Cold,160,Beverage,Coffee,
50,Hot Caramel Oat Latte,"espresso, oat milk, caramel sauce","vitality, sick, comfort","Snack, Drink","rainy, cold, cloudy",Vegan,Hot,150,Beverage,Coffee,
51,Iced Caramel Oat Latte,"espresso, oat milk, caramel sauce","vitality, routine","Snack, Drink","sunny, hot, summer",Vegan,Cold,160,Beverage,Coffee,
52,Iced Biscoff Latte,"espresso, milk","curiosity, celebratory, hangry","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,160,Beverage,Coffee,
53,Iced Shaken Affogato,"espresso, water","celebratory, curiosity, romantic","Snack, Drink","sunny, hot, summer",Vegan,Cold,160,Beverage,Coffee,
54,Hot Chocolate,"espresso, water, chocolate syrup","comfort, cozy","Snack, Drink","rainy, cold, cloudy",Vegan,Hot,120,Beverage,Non-Coffee,
55,Iced Chocolate,"espresso, water, chocolate syrup","celebratory, refresh","Snack, Drink","sunny, hot, summer",Vegan,Cold,150,Beverage,Non-Coffee,
56,Hot Matcha,"espresso, water","vitality, sick","Snack, Drink","rainy, cold, cloudy",Vegan,Hot,120,Beverage,Non-Coffee,
57,Iced Matcha,"espresso, water","vitality, routine","Snack, Drink","sunny, hot, summer",Vegan,Cold,150,Beverage,Non-Coffee,
58,Caramel Macchiato,"blended ice, milk, whipped cream, espresso","romantic, celebratory","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Frappe,Coffee
59,Salted Caramel,"blended ice, milk, whipped cream","stressed, hangry","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Frappe,Coffee
60,Cafe Mocha,"blended ice, milk, whipped cream, espresso","hangry, comfort","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Frappe,Coffee
61,White Chocolate,"blended ice, milk, whipped cream, chocolate sauce","comfort, romantic","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,160,Beverage,Frappe,Coffee
62,Coffee Jelly,"blended ice, milk, whipped cream, espresso","curiosity, hangry","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,165,Beverage,Frappe,Coffee
63,Strawberry Ice cream,"blended ice, milk, whipped cream, strawberry syrup","romantic, refresh","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,160,Beverage,Frappe,Non-Coffee
64,Vanilla,"blended ice, milk, whipped cream, vanilla syrup","routine, comfort","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Frappe,Non-Coffee
65,Biscoff,"blended ice, milk, whipped cream","cozy, curiosity","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Frappe,Non-Coffee
66,Chocolate Chip Cream,"blended ice, milk, whipped cream, chocolate sauce","celebratory, comfort","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Frappe,Non-Coffee
67,Matcha,"blended ice, milk, whipped cream, matcha powder","vitality, refresh","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Frappe,Non-Coffee
68,Caramel Oreo,"blended ice, milk, whipped cream, crushed cookies","stressed, hangry","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,160,Beverage,Frappe,Non-Coffee
69,Mango Cheesecake,"blended ice, milk, whipped cream, mango puree","refresh, romantic","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,165,Beverage,Frappe,Non-Coffee
70,Avocado Creamcheese,"blended ice, milk, whipped cream, avocado","hangry, vitality","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,160,Beverage,Frappe,Non-Coffee
71,Caramel Float Cereal,"soda water, ice cream, caramel drizzle","curiosity, celebratory","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,175,Beverage,Float,
72,Matcha Float,"matcha, ice cream","vitality, refresh","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,165,Beverage,Float,
73,Chocolate Float,"chocolate, ice cream","comfort, celebratory","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,165,Beverage,Float,
74,Mocha Float,"coffee, ice cream","hangry, stressed","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,165,Beverage,Float,
75,Salted Caramel Float,"soda water, ice cream, caramel drizzle","stressed, romantic","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,165,Beverage,Float,
76,Okinawa,"black tea, milk, sugar, tapioca pearls","comfort, routine","Snack, Drink","any, mild",Vegetarian,Cold,100,Beverage,Milk Tea,
77,Cookies and Cream,"black tea, milk, sugar, tapioca pearls, cookie bits","celebratory, curiosity","Snack, Drink","any, mild",Vegetarian,Cold,100,Beverage,Milk Tea,
78,Matcha,"matcha, milk, sugar, tapioca pearls","vitality, sick","Snack, Drink","any, mild",Vegetarian,Cold,100,Beverage,Milk Tea,
79,Wintermelon,"black tea, milk, sugar, tapioca pearls, wintermelon syrup","refresh, cozy","Snack, Drink","any, mild",Vegetarian,Cold,100,Beverage,Milk Tea,
80,Chocolate,"black tea, milk, sugar, tapioca pearls, chocolate powder","comfort, romantic","Snack, Drink","any, mild",Vegetarian,Cold,100,Beverage,Milk Tea,
81,Cheese Cake,"black tea, milk, sugar, tapioca pearls, cream cheese walling","hangry, stressed","Snack, Drink","any, mild",Vegetarian,Cold,120,Beverage,Milk Tea,
82,Blue Ocean,"soda water, fruit syrup, ice, blue curacao, lemon","refresh, curiosity","Snack, Drink","sunny, hot, summer",Vegan,Cold,150,Beverage,Sparkling Soda,
83,Sunset Dream,"soda water, fruit syrup, ice, strawberry, orange","refresh, romantic, celebratory","Snack, Drink","sunny, hot, summer",Vegan,Cold,150,Beverage,Sparkling Soda,
84,Strawberry Yakult,"soda water, fruit syrup, ice, yakult","refresh, vitality, comfort","Snack, Drink","sunny, hot, summer",Vegetarian,Cold,150,Beverage,Sparkling Soda,
85,Peach Soda,"soda water, fruit syrup, ice, peach syrup","refresh, cozy, romantic","Snack, Drink","sunny, hot, summer",Vegan,Cold,135,Beverage,Sparkling Soda,
86,Green Apple,"soda water, fruit syrup, ice, green apple syrup","refresh, stressed","Snack, Drink","sunny, hot, summer",Vegan,Cold,130,Beverage,Sparkling Soda,
87,Blueberry,"soda water, fruit syrup, ice, blueberry syrup","refresh, curiosity, routine","Snack, Drink","sunny, hot, summer",Vegan,Cold,130,Beverage,Sparkling Soda,
88,Peach Tea,"green tea, fruit jam, ice, peach slices","cozy, romantic","Snack, Drink","sunny, hot, summer",Vegan,Cold,140,Beverage,Fruit Tea,
89,Lemon Fruit Tea,"green tea, fruit jam, ice, lemon slices","sick, stressed","Snack, Drink","sunny, hot, summer",Vegan,Cold,140,Beverage,Fruit Tea,
90,Strawberry Fruit Tea,"green tea, fruit jam, ice, strawberry bits","romantic, celebratory","Snack, Drink","sunny, hot, summer",Vegan,Cold,150,Beverage,Fruit Tea,
91,Kiwi Fruit Tea,"green tea, fruit jam, ice, kiwi slices","vitality, curiosity","Snack, Drink","sunny, hot, summer",Vegan,Cold,140,Beverage,Fruit Tea,
92,Blueberry Fruit Tea,"green tea, fruit jam, ice, blueberry","routine, vitality","Snack, Drink","sunny, hot, summer",Vegan,Cold,140,Beverage,Fruit Tea,
